source,target,distance,time_ns,relaxed
287272533,1586671638,5680,43177458,233538
327493705,61105022,23676,221890584,1047107
130550362,4982960405,6552,24066125,145354
1586671678,1412400753,7990,46406000,257348
321350014,4366783443,5655,18163709,111152
671906263,4788497834,2682,2540167,17736
1148158333,476901066,2507,12016834,79669
1414879569,1224605343,6477,64404833,258891
560155475,7918301,13545,149591000,719279
1100923656,2482644538,9681,47770833,251663
1124844543,410937248,7004,30466208,184819
2485455720,258361442,16221,185974084,892494
1509635016,1415215721,17076,191954208,882493
1102860809,1516815708,12853,146392000,716174
1458501918,1106265280,13067,44686417,247754
1296445291,2037152999,5161,30423291,178892
416000456,3627159031,4209,24865000,148920
4578419517,287029052,7495,47306334,260463
4927483704,252245366,5832,52982916,290259
296442401,2572093602,17381,169448333,747033
2519056891,3682028655,4623,22456000,133729
1575629238,3289962660,6883,27772208,163351
1580191154,2217267351,4551,14388708,91679
1290009677,5236424986,4186,22137292,127753
1031992116,2465042979,12160,118200833,560181
2990568647,288665936,16005,194776166,933376
307406877,2942120414,16580,206177833,955508
3714796489,1682334667,13906,141229334,705007
15043533,2349153351,5209,40085958,207974
26582073,3648168451,15407,158624083,771906
95377921,360752413,14529,194154709,806410
1127734992,279736710,10112,96220916,467704
406455542,4266373783,581,866666,5902
26593048,1612703774,1732,9353500,57314
251549348,413914843,5455,38176167,206700
426957836,5216685217,9251,90801917,458978
1105675292,124035143,8625,106523167,469564
3256262627,4619249186,6953,44863208,253258
15043535,254258949,9513,117988750,564597
26981831,2208536115,1964,11675833,73121
1102894270,277233340,12633,225869291,926726
413370360,391317896,9694,72752375,376494
2330258924,1411315293,10216,193018792,838365
1080722294,324742487,13586,153453542,727972
293884911,2194415462,7027,41460708,233346
495486771,2411743261,17025,210498708,997497
29216266,312113695,12306,196732916,846125
1609866366,1616870191,14474,210626917,988480
33153439,281955188,8923,52581208,292215
3211379128,266660801,2523,8772334,56848
313285662,293507779,14744,125642917,514106
4851298271,1100808219,19172,203450125,929024
2324852837,395804524,6237,13469084,79027
9786615,289548071,12097,93176167,457751
2701775150,679013099,4109,22134083,134364
367074314,583233954,10350,100149583,515256
1426697589,388995456,12737,124310584,574617
2762383273,252262562,6135,37391875,219030
339031397,265568586,13318,129210083,659091
1987216301,1182898394,3289,9820000,61681
373113825,2319508720,14013,130681667,660524
2033041428,1426275504,8579,108496791,409501
259817094,4934935605,10650,102864542,468792
489791410,252088081,9851,145937250,699907
4895458597,576873451,8896,51324750,279368
604694688,3316304218,8556,68096250,353123
151025025,266165069,7767,34230291,201423
1330008590,287088712,15523,194786125,873000
354060094,3473562513,5293,39545250,212825
2989919520,4366884919,10429,103524666,501000
923007408,435264251,6301,58715334,310329
364333509,122082335,4508,32792292,190567
1350242487,4112433537,4986,25591708,156702
4718613593,1097309580,2019,7196375,49084
370264516,4896077632,2786,3563833,24940
831905205,3036023035,4558,28391458,172519
1147522539,2975094359,19117,218258625,942574
15043915,727567890,4504,26188458,146674
292572198,1117459847,13470,145164042,724847
3780130739,4198350601,16311,241790666,1012230
290596559,1210552965,14912,158231541,779690
533429407,2064284486,3133,6641458,42424
3378146202,1328815622,2900,20573208,121233
286982652,292946874,5854,38484709,218150
3118448604,308822076,4129,28850000,163219
1620509611,5032201364,12444,208347166,858717
4202690824,265543182,12502,184838041,834043
1593064640,307398242,9535,66200708,368245
881415446,1583088213,3010,15142916,95731
1383076535,2042049818,6904,65354500,354961
3314680434,1126400359,2112,2859833,19683
1312368562,1102708329,13747,126606792,634898
1292337004,2817426661,3003,20117250,64591
31004173,1863685190,7183,24002500,130112
1163347683,2560613591,12891,169214959,811785
1479437841,271903992,5095,32502750,202625
277547617,1246225040,12391,191290000,877341
1117584712,293802789,4871,19683167,119642
2214440677,1158824233,7330,44408042,245292
321445329,8091667,3462,42309625,150696
1576077570,270143565,4515,30277583,178975
3555421358,277627008,13369,100357625,468841
4511983301,1106381692,2797,8942916,54089
288992599,1582971323,5940,16811958,92286
4719285546,1089544639,7363,36141709,202255
2058835840,4519617425,3430,28890958,167153
4195722890,2203723678,3184,13447625,87864
2516115279,3783964948,7121,54948417,294523
1893903631,3474305084,10054,76139250,402005
1569589944,4718431397,15957,132892417,692278
3942505791,1028820023,12623,209804166,928792
387464651,2600557306,15419,186628583,864370
3724876077,1575319401,6733,58239583,304204
1700287710,1189995580,19285,205244750,956561
1087586900,413190532,3054,11034708,70339
2268248353,2586473993,13056,135472666,514999
4339308485,1581230654,9068,59658000,313685
493511581,371813117,6243,49208583,265266
264991161,34023991,12081,198665541,917429
1181000976,295335798,6673,23762916,140443
3351406312,280229649,8661,87988583,409209
2938929229,2457376894,5324,43577834,231283
280299000,1909824834,18410,212524750,957780
1680039974,270091414,13821,213845125,901116
2068130161,289739041,6436,23833042,146658
1907943003,1125688105,2978,4041041,27747
1198936807,451765385,10352,101405750,483813
457513321,1106290501,10723,135380958,621916
4929312309,273406746,8296,88662916,455448
255711684,387463675,8995,60954709,341842
262159492,3277378306,5438,47739083,213559
444734317,2393275141,1399,1494625,10833
3400120974,3887510233,16089,177989875,825308
2462903755,351862426,7136,51099458,287524
1517066506,5000636848,9879,53142542,291205
1885702199,2252720051,11173,208258167,871200
1573735580,1156986796,11613,168890833,752258
4176897784,274253694,2238,17367833,102908
24670702,4244830513,5151,31368166,194904
31455985,510590935,16906,205899416,994327
4155559313,1512249402,17762,214205791,939062
1485031362,356660358,6892,61407250,326354
2515577791,3777104765,6019,34711250,201013
4511983465,261023136,7614,83244875,416729
772628155,4002839316,5755,45468750,247484
1151258644,1306485573,6976,72543292,381754
2514808583,916433236,9383,108551875,458090
369909238,3409487433,13826,144620208,719925
1020998592,4927519001,411,656292,4840
413203773,1233532008,5808,29635375,173644
3679254043,340449218,2235,14450500,88883
2475185364,4141435151,4647,32977125,195368
1234026782,4321035098,9958,95214250,473933
3262418196,2039102468,1878,6288625,41408
3905607215,308540236,14834,205085250,912632
1878146559,2370495643,13955,202814250,945295
1126426292,1271199110,18737,233722083,973680
5031700715,2054835114,1812,5831625,37272
308443231,1261072132,1806,3734708,23904
618604138,3674936472,14605,208225208,979096
265847068,1494331699,5739,46485125,257258
290981999,1737572829,10722,170339334,793938
3826817312,440320845,8223,81196292,409659
876198103,269740518,210,231666,1511
617761412,1096075816,13239,191662584,880957
26204041,2513054067,2518,34634083,101620
2422522050,745739197,5478,7585792,47985
3772842622,1734564307,8706,81420042,395201
376653364,5105360635,4578,20617292,112064
2801602031,2918693994,15705,238723834,1035889
30562621,3256192870,14521,238082750,1021097
3100571332,1347785676,4990,41146542,213088
391513348,2480988388,4218,6520583,36851
1105392636,1298411986,10863,117849292,485275
1025509275,821372184,4165,20204333,116973
1463994198,1147043683,17759,207868875,974343
4016880240,2330322076,4190,19674416,90832
269598200,2179488214,17805,213986042,989530
4929108044,1431194156,675,2419125,15498
547109583,308585176,13113,208662708,832955
2278045435,1849586602,14187,158238167,782749
5322913522,112098020,4530,38023542,214853
428074167,30916364,11266,167635875,753585
420808060,4927536858,13517,197968875,919096
3110937122,623942,16656,171199500,826513
332493410,3523002443,5238,50279459,170318
443877066,4119499673,14011,174364084,745892
1274714742,1557587521,10341,109470958,535004
35328788,1256999356,5486,12010625,75837
660912056,2216066799,9531,84463625,409436
790120751,2349103802,6347,41272750,222625
250680507,628559,14938,171444375,764098
250663029,4868579148,15427,213790750,981587
313959825,4250425364,18267,207454500,967070
1122299839,385131241,6886,41588125,221720
957671065,3437593377,8650,95064792,359672
4142462251,3509576934,12734,163419042,753684
1107413502,190756453,5939,45484333,231536
4252219936,2659932875,6071,36527542,203039
4838968842,2338107606,2795,15885667,100541
4892539127,282014977,6484,40270042,223238
2276119347,1271199442,22825,208695167,968931
71674935,364159810,8529,85441000,434623
1096227934,295325982,12134,130541541,652928
448897001,351864711,3417,8954625,57263
390169417,2179134416,17160,127770250,656691
3477325522,1128062690,9257,49574209,268994
469988065,3209042375,10136,116946541,486634
5116108951,844548720,14552,142406125,676824
290979176,258378480,6168,37754750,205772
1398474515,1274698732,10126,44700542,257527
279798496,4716665523,4267,7409292,46248
261160322,570283,13827,155374333,769112
31462961,505373106,16332,166323625,763724
1633683634,251738407,9884,104498084,524224
891103262,3266996432,2771,9590625,60363
1381884920,1604088183,3697,24794625,151005
279281896,70382220,10377,100020334,505116
312403619,307941457,16591,236205334,1009120
258867952,2566209404,9331,140161875,688156
3123816553,1080728319,7089,60113708,322932
1460417753,2970375137,71,75041,455
4397118126,1079392165,6871,67982084,354551
772836688,280870283,7167,77351125,359322
1829797461,254946094,16549,191096833,901202
2428988693,1225951973,9745,164552291,784596
1114578265,2621679058,12330,207277250,832980
267246483,890474616,6889,23621334,127322
4508478774,4579139178,19579,183899000,854887
265008650,890428294,17677,188984875,885686
1142834128,1415215756,15611,152419750,697537
570615,2332830343,7287,75452167,405875
1033771216,112366125,6415,62486584,335452
1533888601,1105292229,7446,68777791,346934
4934266954,411667804,6047,42124917,231326
3810408190,3235286387,3735,16462750,99132
34023968,11056225,646,3596375,21500
420319887,1176678763,2327,2235250,14487
387495966,2381463114,17944,203792208,903650
3164465008,3811075364,5085,23253709,134809
17176992,2579953706,18185,191025166,891516
2786391675,277450099,1196,1391167,9974
1153162987,271750974,11929,97319041,499827
1278550082,2393576436,2750,10892666,71116
930000,691259225,346,389292,2878
312113692,890428292,10322,132786875,554631
4385048749,505373095,17208,160996000,804629
1114069056,409183026,4914,39651375,217963
1783081234,3216498722,8906,131560209,546948
1097309682,2897885940,5030,35926792,190062
670674054,2387130153,11551,109382917,530027
2501694026,310275258,18743,208545500,964495
2054835129,5020165035,10616,177386167,818625
1086808074,437089449,1192,719500,4896
3468577841,467076501,17802,231859167,966971
3266114538,1248811654,15698,223932250,978028
1172671415,437117929,10661,147790709,717992
35518478,724111523,13561,133933292,591238
882215947,280470867,1648,2443833,16654
1582223181,3901171621,5689,45627500,249890
2388294463,4902882054,8328,44375166,249632
1293973862,2066853046,2893,9770167,61378
2370730851,841150387,12986,62998792,340944
383908419,3421048221,13985,216403792,914033
224491128,27490666,15805,182745500,843959
303793198,855542671,6612,27047458,157785
4183146908,5228844175,14918,225682958,1007457
337834275,2355285811,2459,6574500,44475
2586473903,458983461,7080,42698541,244003
291885914,315981783,19271,205973750,977535
3309755174,3063299215,3743,21366041,120117
965941673,409116545,4813,20672000,114928
273406711,5041494341,6657,69717583,345196
230116518,1931807580,7254,55197625,228795
4125266133,1860238313,20136,217851125,964912
2342437708,1093669552,5000,20334500,117126
1587113832,2291207647,2774,16366750,98122
450126467,2611394285,4034,23698875,135721
3422178859,2332905617,12500,207867459,925312
456342810,1100420184,7392,28663291,171900
2352340392,1402096056,10200,43268542,233010
1582402446,390070456,3118,22159375,126080
5018787209,250227924,5347,40988625,226280
3194668113,3340808185,4854,47669584,189084
387486299,2284870684,3894,6589542,40149
1125193384,319834509,18978,213911459,1018461
4377876661,8082883,10959,182158916,813775
262353951,257427428,10934,40418666,233062
450955380,3820788382,9983,81719292,339873
3498915616,1763648060,20219,208702584,975576
256277770,725896681,9052,70202709,386836
1428129218,2353532622,18739,210034625,989390
2566209784,2390788208,13516,223621667,970003
1893819659,288218471,3920,29194792,177074
820447533,287827171,12934,210101584,954730
901223945,280704590,1400,2138000,14268
477274281,2720470959,3576,9902875,63802
288775673,1141260755,17194,160429917,671458
258892494,1362211176,14438,114495542,522225
2587404279,269935496,10083,121693583,606008
4209719894,861057247,4774,26255042,152637
359964647,400957996,3908,6627334,43031
529976948,173986967,976,669334,5133
71639648,29977438,14549,216500416,910470
1086032593,1412514333,16010,226594042,1060366
289549434,1126399904,4138,9348458,60126
416620357,3785796256,8544,67126291,371368
1247495780,2082989396,8114,38553208,215981
3154898714,5123859058,6991,41335166,224000
5272071011,2656872469,14721,235759375,1008141
1510041533,2606657099,6286,45011334,234097
1172142179,27113108,6945,59377458,326285
288874296,1106499839,10891,126917208,612853
361435220,265111824,8547,145476000,669421
687711906,1996716965,15867,215541083,1008941
1440920069,3269587298,9486,67157666,379840
4169897291,691259172,3766,19107208,115018
27039681,266814202,11031,216103250,879224
1199769319,4811715729,3028,13470375,82596
5049289115,3283803998,1958,8584708,54586
1595322958,2357948610,11023,126455625,626972
402664762,1224773081,3575,23971167,141832
387804055,441303580,6337,52819708,283052
1924991791,291888182,817,825167,6044
1583979594,343240271,14647,237720500,1049944
743400098,252246128,2538,8711417,55721
860222878,1416152326,13889,154702625,763061
1879436527,2286010345,4791,34269458,196009
1988122961,904028432,17039,115552042,572748
4882009698,83745260,5015,19490416,114311
3560559229,2188424370,3335,13837167,85982
247936589,286982677,9871,112641416,460353
928408611,263950896,12833,174244125,806855
3102627878,3406832302,15373,209001750,984802
289550216,5284856473,15738,221261667,950621
1676916962,1267350233,6071,50612875,269861
4180986136,4409782015,14731,213013166,959946
1691050266,1282837337,14046,234801167,949948
2647920705,1092359516,12351,105943167,515351
4560719978,268690828,16626,214014334,1001743
3031728015,1689283233,12752,136202500,593696
4864184683,351865655,9447,56062167,310178
639307014,3104131783,7994,68082750,366743
514367797,769214331,7841,63757667,342721
1104539307,272269739,17033,155986292,763909
3220472197,1107618182,12832,213623000,893199
1590854247,303648775,11785,185595167,838895
2042049546,2179726248,12757,134642000,680729
312329746,281975296,6184,50947541,198133
3267291942,1189944733,4162,23314250,139869
281169307,288396038,14634,190579667,884317
1111591754,21063394,8940,83919208,409147
255619160,510417104,5544,48175333,242628
2876766383,3382698837,3963,28310916,157743
3283225026,1394217866,3859,48435042,192461
14962136,27130791,17668,202737917,907636
64712599,2397013846,4886,34219750,193218
4208636798,3470915542,14911,198171417,933366
416000486,4010125699,7264,62738709,337377
480415026,2178824974,19569,219040958,986540
2512161913,3403922889,2320,6106625,40150
246746655,1456162731,8608,65342167,359669
2632484266,1099424323,17503,153729458,768441
984427134,1092112512,11798,122204416,610203
1075498235,267369916,5882,59063375,227326
2285047066,4460533394,2105,1016209,6360
294019011,1685235943,11729,137258333,659227
1302378794,824398185,4474,24385916,140975
1930533046,330076396,10069,54812250,305154
547109598,3440132178,5750,38915292,211109
497547343,316993288,3732,24995458,148652
1114821574,4327466847,5295,16359208,97571
