source,target,distance,time_ns,relaxed
2343073339,2474172952,15776,196450125,959614
287272533,1586671638,5680,114791250,468388
327493705,61105022,23676,241376375,1171373
130550362,4982960405,6552,83919500,382498
1586671678,1412400753,7990,143890083,720100
321350014,4366783443,5655,23813875,89054
671906263,4788497834,2682,20851250,73316
1148158333,476901066,2507,32701250,124772
1414879569,1224605343,6477,118954000,567807
560155475,7918301,13545,136803208,639145
1100923656,2482644538,9681,100053000,445676
1124844543,410937248,7004,64996833,281772
2485455720,258361442,16221,179584500,876302
1509635016,1415215721,17076,224639708,1098604
1102860809,1516815708,12853,201072500,903814
1458501918,1106265280,13067,165279750,771394
1296445291,2037152999,5161,47195625,196054
416000456,3627159031,4209,72779833,322147
4578419517,287029052,7495,98360958,411459
4927483704,252245366,5832,68769833,302813
296442401,2572093602,17381,220001084,1018575
2519056891,3682028655,4623,97409209,396938
1575629238,3289962660,6883,32872291,128162
1580191154,2217267351,4551,73292917,321135
1290009677,5236424986,4186,71785167,320524
1031992116,2465042979,12160,167204833,806324
2990568647,288665936,16005,209731583,995631
307406877,2942120414,16580,186176083,934082
3714796489,1682334667,13906,192752916,861381
15043533,2349153351,5209,116966375,474333
26582073,3648168451,15407,230678250,1065530
95377921,360752413,14529,196428666,930398
1127734992,279736710,10112,118154666,595576
406455542,4266373783,581,4451625,10275
26593048,1612703774,1732,29803250,112879
251549348,413914843,5455,96796750,440140
426957836,5216685217,9251,183179792,819064
1105675292,124035143,8625,119080000,511253
3256262627,4619249186,6953,79363791,378364
15043535,254258949,9513,186988167,824818
26981831,2208536115,1964,13662625,38275
1102894270,277233340,12633,196891875,879701
413370360,391317896,9694,160355750,785512
2330258924,1411315293,10216,103104833,478733
1080722294,324742487,13586,203812666,952653
293884911,2194415462,7027,81278208,340887
495486771,2411743261,17025,223432125,1065957
29216266,312113695,12306,106133000,509948
1609866366,1616870191,14474,228218542,1094070
33153439,281955188,8923,110990208,542318
3211379128,266660801,2523,20249917,69192
313285662,293507779,14744,168518625,729616
4851298271,1100808219,19172,218823084,1115063
2324852837,395804524,6237,44340500,184495
9786615,289548071,12097,159999167,801997
2701775150,679013099,4109,59788958,245635
367074314,583233954,10350,95223167,409410
1426697589,388995456,12737,144792333,761534
2762383273,252262562,6135,70672875,287355
339031397,265568586,13318,132393459,668727
1987216301,1182898394,3289,40954500,168597
373113825,2319508720,14013,177230583,830755
2033041428,1426275504,8579,80140375,372486
259817094,4934935605,10650,133404083,658392
489791410,252088081,9851,131453375,648906
4895458597,576873451,8896,81430000,368066
604694688,3316304218,8556,124368583,542219
151025025,266165069,7767,127922708,612345
1330008590,287088712,15523,220540583,1071570
354060094,3473562513,5293,95394458,421987
2989919520,4366884919,10429,227974791,1018178
923007408,435264251,6301,114342708,532752
364333509,122082335,4508,67346791,299020
1350242487,4112433537,4986,42014334,177648
4718613593,1097309580,2019,25871541,100053
370264516,4896077632,2786,17864417,58322
831905205,3036023035,4558,34022250,132777
1147522539,2975094359,19117,229523500,1057576
15043915,727567890,4504,83498125,344659
292572198,1117459847,13470,127299584,643177
3780130739,4198350601,16311,237585584,1121506
290596559,1210552965,14912,193304417,894016
533429407,2064284486,3133,16915875,53274
3378146202,1328815622,2900,31144458,111508
286982652,292946874,5854,54841292,224989
3118448604,308822076,4129,72108875,328502
1620509611,5032201364,12444,132256708,673799
4202690824,265543182,12502,148689125,772303
1593064640,307398242,9535,67255291,311557
881415446,1583088213,3010,29478334,112229
1383076535,2042049818,6904,111512625,499702
3314680434,1126400359,2112,14034292,40569
1312368562,1102708329,13747,234406125,1115977
1292337004,2817426661,3003,30639375,113009
31004173,1863685190,7183,82905542,348759
1163347683,2560613591,12891,189066916,843748
1479437841,271903992,5095,43737125,172711
277547617,1246225040,12391,109814292,529633
1117584712,293802789,4871,55159916,215302
2214440677,1158824233,7330,105129625,434496
321445329,8091667,3462,49472209,201869
1576077570,270143565,4515,71420625,300797
3555421358,277627008,13369,254139250,1122309
4511983301,1106381692,2797,31178041,111378
288992599,1582971323,5940,67701542,283537
4719285546,1089544639,7363,127143625,584376
2058835840,4519617425,3430,44950333,184959
4195722890,2203723678,3184,62422917,245735
2516115279,3783964948,7121,123243083,595359
1893903631,3474305084,10054,128555167,615587
1569589944,4718431397,15957,232037125,1089823
3942505791,1028820023,12623,100003792,474311
387464651,2600557306,15419,195652833,928615
3724876077,1575319401,6733,83469167,404163
1700287710,1189995580,19285,220480209,1071768
1087586900,413190532,3054,31683208,124407
2268248353,2586473993,13056,197558042,959718
4339308485,1581230654,9068,120268708,586786
493511581,371813117,6243,108916958,494967
264991161,34023991,12081,233885916,1088243
1181000976,295335798,6673,97718708,410556
3351406312,280229649,8661,81912833,372195
2938929229,2457376894,5324,96733500,431084
280299000,1909824834,18410,217309584,1046365
1680039974,270091414,13821,126736500,645128
2068130161,289739041,6436,78010709,346554
1907943003,1125688105,2978,26755250,99075
1198936807,451765385,10352,98854000,436808
457513321,1106290501,10723,204566334,955950
4929312309,273406746,8296,82844459,403959
255711684,387463675,8995,180126875,821881
262159492,3277378306,5438,83400250,330602
444734317,2393275141,1399,12039750,33049
3400120974,3887510233,16089,213682834,950200
2462903755,351862426,7136,79160042,368753
1517066506,5000636848,9879,149904458,681447
1885702199,2252720051,11173,210504750,975186
1573735580,1156986796,11613,208644333,966036
4176897784,274253694,2238,42540042,164893
24670702,4244830513,5151,66568250,291202
31455985,510590935,16906,198276625,879759
4155559313,1512249402,17762,253494125,1123879
1485031362,356660358,6892,111028458,485326
2515577791,3777104765,6019,89262125,405730
4511983465,261023136,7614,110494583,491784
772628155,4002839316,5755,124042459,531152
1151258644,1306485573,6976,121803375,527321
2514808583,916433236,9383,141223458,710214
369909238,3409487433,13826,127825292,654819
1020998592,4927519001,411,3681791,7787
413203773,1233532008,5808,108307208,444650
3679254043,340449218,2235,39560333,153909
2475185364,4141435151,4647,87515667,336499
1234026782,4321035098,9958,162542875,792470
3262418196,2039102468,1878,27064583,97047
3905607215,308540236,14834,202305958,883028
1878146559,2370495643,13955,184344666,833518
1126426292,1271199110,18737,229022750,1161957
5031700715,2054835114,1812,32387917,115394
308443231,1261072132,1806,16311750,50019
618604138,3674936472,14605,207474833,1021828
265847068,1494331699,5739,74607250,337312
290981999,1737572829,10722,103259209,449611
3826817312,440320845,8223,149583875,724237
876198103,269740518,210,1967833,2800
617761412,1096075816,13239,193164458,882464
26204041,2513054067,2518,46505209,141086
2422522050,745739197,5478,25837083,98581
3772842622,1734564307,8706,113307666,485886
376653364,5105360635,4578,32689792,127280
2801602031,2918693994,15705,225643333,1126812
30562621,3256192870,14521,139659542,643884
3100571332,1347785676,4990,65190834,287937
391513348,2480988388,4218,15623375,47230
1105392636,1298411986,10863,147592333,694794
1025509275,821372184,4165,73382750,299603
1463994198,1147043683,17759,210144417,1057513
4016880240,2330322076,4190,66610458,261560
269598200,2179488214,17805,201173333,997885
4929108044,1431194156,675,14313250,38259
547109583,308585176,13113,195475792,925000
2278045435,1849586602,14187,151812000,769669
5322913522,112098020,4530,61440792,257081
428074167,30916364,11266,201830791,894807
420808060,4927536858,13517,131424750,657962
3110937122,623942,16656,195291959,846592
332493410,3523002443,5238,53657959,214663
443877066,4119499673,14011,218200875,1046524
1274714742,1557587521,10341,165203166,776014
35328788,1256999356,5486,55673167,228425
660912056,2216066799,9531,162972042,768181
790120751,2349103802,6347,73014750,326170
250680507,628559,14938,133221042,613807
250663029,4868579148,15427,202662666,994035
313959825,4250425364,18267,218300250,1030985
1122299839,385131241,6886,121761167,582127
957671065,3437593377,8650,143706708,665492
4142462251,3509576934,12734,211794417,1002624
1107413502,190756453,5939,117136916,500543
4252219936,2659932875,6071,75961417,316179
4838968842,2338107606,2795,44021750,172401
4892539127,282014977,6484,59660875,264299
2276119347,1271199442,22825,235830583,1162536
71674935,364159810,8529,168479625,798684
1096227934,295325982,12134,189293000,846430
448897001,351864711,3417,37631333,154815
390169417,2179134416,17160,201906875,995799
3477325522,1128062690,9257,149320125,681894
469988065,3209042375,10136,78731250,389997
5116108951,844548720,14552,145120041,747793
290979176,258378480,6168,52096666,213683
1398474515,1274698732,10126,76415417,352449
279798496,4716665523,4267,14370042,42236
261160322,570283,13827,208389167,942027
31462961,505373106,16332,189067709,892201
1633683634,251738407,9884,211312791,953154
891103262,3266996432,2771,34410375,136753
1381884920,1604088183,3697,53766250,204452
279281896,70382220,10377,221036291,1023273
312403619,307941457,16591,220072000,1073615
258867952,2566209404,9331,192356541,815180
3123816553,1080728319,7089,132745958,634894
1460417753,2970375137,71,581167,259
