source,target,distance,time_ns,relaxed
1148158333,476901066,2507,2332375,620
1414879569,1224605343,6477,2748875,753
560155475,7918301,13545,3177667,1034
1100923656,2482644538,9681,3202916,961
1124844543,410937248,7004,2963333,834
2485455720,258361442,16221,2586416,816
1509635016,1415215721,17076,3253000,1260
1102860809,1516815708,12853,2957750,994
1458501918,1106265280,13067,3518334,1034
1296445291,2037152999,5161,2487167,760
416000456,3627159031,4209,2635834,804
4578419517,287029052,7495,2846333,836
4927483704,252245366,5832,2844708,797
296442401,2572093602,17381,3620041,1189
2519056891,3682028655,4623,3234125,793
1575629238,3289962660,6883,2838500,758
1580191154,2217267351,4551,2501375,640
1290009677,5236424986,4186,2713500,802
1031992116,2465042979,12160,3180833,1119
2990568647,288665936,16005,3856459,1442
307406877,2942120414,16580,3406083,1044
3714796489,1682334667,13906,3290292,1030
15043533,2349153351,5209,2880375,736
26582073,3648168451,15407,3439708,1332
95377921,360752413,14529,3223708,1033
1127734992,279736710,10112,3132417,975
406455542,4266373783,581,1499083,243
26593048,1612703774,1732,2270125,684
251549348,413914843,5455,3228750,933
426957836,5216685217,9251,2990000,669
1105675292,124035143,8625,3104458,761
3256262627,4619249186,6953,3060916,823
15043535,254258949,9513,3078875,886
26981831,2208536115,1964,2186833,637
1102894270,277233340,12633,3328208,1119
413370360,391317896,9694,3610708,980
2330258924,1411315293,10216,3182042,1244
1080722294,324742487,13586,2808250,1001
293884911,2194415462,7027,3313750,1029
495486771,2411743261,17025,4026250,1807
29216266,312113695,12306,3225834,1008
1609866366,1616870191,14474,3736792,1323
33153439,281955188,8923,3159125,899
3211379128,266660801,2523,1790417,337
313285662,293507779,14744,4624458,1243
4851298271,1100808219,19172,3414167,1118
2324852837,395804524,6237,2717083,751
9786615,289548071,12097,3303208,1017
2701775150,679013099,4109,3477916,1280
367074314,583233954,10350,3033208,871
1426697589,388995456,12737,2793833,863
2762383273,252262562,6135,3063625,829
339031397,265568586,13318,3239625,986
1987216301,1182898394,3289,2566250,612
373113825,2319508720,14013,3080208,935
2033041428,1426275504,8579,3178167,902
259817094,4934935605,10650,3565083,1042
489791410,252088081,9851,3252500,1040
4895458597,576873451,8896,2746000,753
604694688,3316304218,8556,3078500,871
151025025,266165069,7767,2975750,800
1330008590,287088712,15523,3339875,1078
354060094,3473562513,5293,3167291,893
2989919520,4366884919,10429,3020125,861
923007408,435264251,6301,3248750,1026
364333509,122082335,4508,3165333,902
1350242487,4112433537,4986,2241542,572
4718613593,1097309580,2019,1827667,521
370264516,4896077632,2786,2057042,489
831905205,3036023035,4558,2518750,674
1147522539,2975094359,19117,3074333,1049
15043915,727567890,4504,2570541,733
292572198,1117459847,13470,3302833,1052
3780130739,4198350601,16311,3584875,1155
290596559,1210552965,14912,3496084,1224
533429407,2064284486,3133,1883000,392
3378146202,1328815622,2900,2761708,819
286982652,292946874,5854,3182208,875
3118448604,308822076,4129,2585500,687
1620509611,5032201364,12444,2798083,903
4202690824,265543182,12502,3013208,966
1593064640,307398242,9535,3059792,969
881415446,1583088213,3010,2520750,682
1383076535,2042049818,6904,3465084,1169
3314680434,1126400359,2112,1605834,302
1312368562,1102708329,13747,3857916,1089
1292337004,2817426661,3003,2106875,487
31004173,1863685190,7183,2570208,737
1163347683,2560613591,12891,3100542,973
1479437841,271903992,5095,2663000,923
277547617,1246225040,12391,2913041,973
1117584712,293802789,4871,2471958,685
2214440677,1158824233,7330,3921541,1020
321445329,8091667,3462,2842709,1072
1576077570,270143565,4515,3158667,923
3555421358,277627008,13369,3614542,1132
4511983301,1106381692,2797,1830459,433
288992599,1582971323,5940,3001708,774
4719285546,1089544639,7363,3226500,875
2058835840,4519617425,3430,2839417,923
4195722890,2203723678,3184,2582959,583
2516115279,3783964948,7121,4778500,784
1893903631,3474305084,10054,3271000,1071
1569589944,4718431397,15957,3662292,1410
3942505791,1028820023,12623,3159833,1092
387464651,2600557306,15419,3034458,942
3724876077,1575319401,6733,2542375,652
1700287710,1189995580,19285,3181917,1017
1087586900,413190532,3054,2117042,544
2268248353,2586473993,13056,3430667,1015
4339308485,1581230654,9068,3226583,827
493511581,371813117,6243,2967583,884
264991161,34023991,12081,2786500,970
1181000976,295335798,6673,3792917,1193
3351406312,280229649,8661,3072667,1007
2938929229,2457376894,5324,3368167,1009
280299000,1909824834,18410,3699875,1167
1680039974,270091414,13821,3256625,1255
2068130161,289739041,6436,2848541,791
1907943003,1125688105,2978,2320042,396
1198936807,451765385,10352,3414416,1034
457513321,1106290501,10723,3188875,959
4929312309,273406746,8296,3254583,1126
255711684,387463675,8995,3499416,983
262159492,3277378306,5438,3085791,898
444734317,2393275141,1399,1138167,175
3400120974,3887510233,16089,3028667,974
2462903755,351862426,7136,2814958,750
1517066506,5000636848,9879,3222458,984
1885702199,2252720051,11173,3409959,1285
1573735580,1156986796,11613,3032125,1076
4176897784,274253694,2238,2108042,622
24670702,4244830513,5151,2637250,988
31455985,510590935,16906,3222166,1050
4155559313,1512249402,17762,4453792,1233
1485031362,356660358,6892,2822333,707
2515577791,3777104765,6019,3391667,1165
4511983465,261023136,7614,3219083,954
772628155,4002839316,5755,3042583,947
1151258644,1306485573,6976,2959167,779
2514808583,916433236,9383,3826708,1030
369909238,3409487433,13826,3082708,1091
1020998592,4927519001,411,1088667,151
413203773,1233532008,5808,3400208,993
3679254043,340449218,2235,2457667,832
2475185364,4141435151,4647,3270583,835
1234026782,4321035098,9958,3213709,1011
3262418196,2039102468,1878,2380208,567
3905607215,308540236,14834,3243291,988
1878146559,2370495643,13955,3549125,1329
1126426292,1271199110,18737,3429584,1059
5031700715,2054835114,1812,1851666,361
308443231,1261072132,1806,1227167,205
618604138,3674936472,14605,3746250,1489
265847068,1494331699,5739,3223208,940
290981999,1737572829,10722,3444959,1145
3826817312,440320845,8223,2937583,863
876198103,269740518,210,697208,49
617761412,1096075816,13239,3623084,1175
26204041,2513054067,2518,2646333,947
2422522050,745739197,5478,1791792,235
3772842622,1734564307,8706,3668000,1133
376653364,5105360635,4578,2330959,587
2801602031,2918693994,15705,3512708,1320
30562621,3256192870,14521,3168917,1187
3100571332,1347785676,4990,2768917,940
391513348,2480988388,4218,1623875,207
1105392636,1298411986,10863,3788667,1285
1025509275,821372184,4165,2835000,641
1463994198,1147043683,17759,3491958,1365
4016880240,2330322076,4190,3091458,1062
269598200,2179488214,17805,3583833,1340
4929108044,1431194156,675,1850916,483
547109583,308585176,13113,3862000,1522
2278045435,1849586602,14187,3105459,1315
5322913522,112098020,4530,2559834,829
428074167,30916364,11266,2912333,1062
420808060,4927536858,13517,3127916,1148
3110937122,623942,16656,3232000,1049
332493410,3523002443,5238,3142916,891
443877066,4119499673,14011,3067708,997
1274714742,1557587521,10341,4254125,1363
35328788,1256999356,5486,2605083,769
660912056,2216066799,9531,3072125,1012
790120751,2349103802,6347,3272709,1273
250680507,628559,14938,3593667,1185
250663029,4868579148,15427,3845500,1367
313959825,4250425364,18267,3347417,1053
1122299839,385131241,6886,2696959,609
957671065,3437593377,8650,4326541,1591
4142462251,3509576934,12734,3459542,1058
1107413502,190756453,5939,2771542,798
4252219936,2659932875,6071,2842375,1069
4838968842,2338107606,2795,2441583,742
4892539127,282014977,6484,3202583,937
2276119347,1271199442,22825,3765542,1344
71674935,364159810,8529,3427625,1060
1096227934,295325982,12134,3478458,1130
448897001,351864711,3417,2690500,716
390169417,2179134416,17160,3695250,1402
3477325522,1128062690,9257,3592458,879
469988065,3209042375,10136,3092375,910
5116108951,844548720,14552,3461333,998
290979176,258378480,6168,2855667,724
1398474515,1274698732,10126,2723291,770
279798496,4716665523,4267,1889791,400
261160322,570283,13827,3200833,1154
31462961,505373106,16332,3341167,1314
1633683634,251738407,9884,3192708,1005
891103262,3266996432,2771,2081500,548
1381884920,1604088183,3697,2134208,587
279281896,70382220,10377,3358291,1105
312403619,307941457,16591,3760250,1480
258867952,2566209404,9331,2913500,936
3123816553,1080728319,7089,3751792,1135
1460417753,2970375137,71,532500,53
4397118126,1079392165,6871,2851417,806
772836688,280870283,7167,2770292,960
1829797461,254946094,16549,3743125,1534
2428988693,1225951973,9745,2924416,1016
1114578265,2621679058,12330,3367042,1050
267246483,890474616,6889,2616584,730
4508478774,4579139178,19579,3579041,1295
265008650,890428294,17677,3811458,1227
1142834128,1415215756,15611,3378125,1101
570615,2332830343,7287,2528125,824
1033771216,112366125,6415,3041417,891
1533888601,1105292229,7446,3051167,895
4934266954,411667804,6047,3212000,1101
3810408190,3235286387,3735,2941541,635
34023968,11056225,646,1793541,438
420319887,1176678763,2327,1354208,182
387495966,2381463114,17944,2956834,982
3164465008,3811075364,5085,2457417,749
17176992,2579953706,18185,3611542,1130
2786391675,277450099,1196,970125,139
1153162987,271750974,11929,4093708,1313
1278550082,2393576436,2750,2340625,554
930000,691259225,346,856625,131
312113692,890428292,10322,3850375,1135
4385048749,505373095,17208,3438958,1322
1114069056,409183026,4914,2743833,772
1783081234,3216498722,8906,3098542,966
1097309682,2897885940,5030,3149166,967
670674054,2387130153,11551,3996375,1308
2501694026,310275258,18743,3442666,1186
2054835129,5020165035,10616,2887708,1028
1086808074,437089449,1192,1088417,117
3468577841,467076501,17802,3377041,1143
3266114538,1248811654,15698,3665667,1404
1172671415,437117929,10661,3100291,988
35518478,724111523,13561,3233750,1015
882215947,280470867,1648,1531458,264
1582223181,3901171621,5689,3225834,1018
2388294463,4902882054,8328,2962666,658
1293973862,2066853046,2893,2350625,500
2370730851,841150387,12986,3800083,1296
383908419,3421048221,13985,3795917,1041
224491128,27490666,15805,3548375,1111
303793198,855542671,6612,2925958,833
4183146908,5228844175,14918,3694792,1126
337834275,2355285811,2459,1853750,383
2586473903,458983461,7080,2736625,672
291885914,315981783,19271,3694000,1350
3309755174,3063299215,3743,2607834,696
965941673,409116545,4813,2259791,616
273406711,5041494341,6657,3050083,967
230116518,1931807580,7254,2656209,867
4125266133,1860238313,20136,3470084,1016
2342437708,1093669552,5000,2578083,763
1587113832,2291207647,2774,2809959,950
450126467,2611394285,4034,3155833,760
3422178859,2332905617,12500,3447000,1144
456342810,1100420184,7392,3066833,1042
2352340392,1402096056,10200,3794583,1164
1582402446,390070456,3118,2610125,651
5018787209,250227924,5347,2800834,779
3194668113,3340808185,4854,2750250,909
387486299,2284870684,3894,1884833,355
1125193384,319834509,18978,4145042,1866
4377876661,8082883,10959,2833792,956
262353951,257427428,10934,3328792,988
450955380,3820788382,9983,3349416,888
3498915616,1763648060,20219,3277667,1064
256277770,725896681,9052,2914542,754
1428129218,2353532622,18739,3803084,1528
2566209784,2390788208,13516,3524625,1168
1893819659,288218471,3920,2312792,722
820447533,287827171,12934,3051334,1126
901223945,280704590,1400,1444125,266
477274281,2720470959,3576,1463292,262
